Title,Release_Date,Expired_Date,Activity_Code,Organization,Parent_Organization,Participating_Orgs,Document_Number,Document_Type,Clinical_Trials,URL
Biomedical Technology Optimization and Dissemination Center (BTOD)(RM1-Clinical Trial Not Allowed),3/7/2023,1/27/2026,RM1,NIGMS,NIH,None,PAR-23-110,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-23-110.html
Notice of Special Interest (NOSI): Availability of Administrative Supplements to Advance the Use of Electronic Health Records for Research,3/7/2023,,Admin Supp,NIGMS,NIH,ODSS,NOT-GM-23-035,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-GM-23-035.html
Notice of Special Interest (NOSI): Research Project Grants in Valvular Heart Disease (CAROL Act),3/7/2023,,R01,NHLBI,NIH,None,NOT-HL-23-079,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-HL-23-079.html
Notice of Special Interest (NOSI): Administrative Supplements to Enhance Software Tools for Open Science,3/7/2023,,Admin Supp,OD,NIH,"NIMHD, NINDS, NLM, ORIP, RM, NIMH, NCATS, NCCIH, NCI, NEI, NHGRI, NHLBI, NIA, NIAAA, NIAID, NIAMS, NIBIB, NICHD, NIDA, NIDCD, NIDCR, NIDDK, NIGMS",NOT-OD-23-073,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-23-073.html
Notice of Special Interest (NOSI): Administrative Supplements to Support Collaborations to Improve the AI/ML-Readiness of NIH-Supported Data,3/6/2023,,Admin Supp,OD,NIH,"NHLBI, NIAID, NIAMS, NIBIB, NICHD, NIDA, NIDCD, NIDCR, NIDDK, NIGMS, NIMH, NIMHD, NINDS, NINR, NLM, ORIP, RM, FIC, NCCIH, NCI, NEI, NHGRI",NOT-OD-23-082,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-23-082.html
Notice of Special Interest (NOSI): Integrative Omics Analysis of NHLBI TOPMed Data (Parent R01 Clinical Trial Not Allowed),3/6/2023,,R01,NHLBI,NIH,None,NOT-HL-23-067,NOSIS,Not_Allowed,https://grants.nih.gov/grants/guide/notice-files/NOT-HL-23-067.html
Small R01s for Clinical Trials Targeting Diseases within the Mission of NIDDK (R01 Clinical Trial Required),3/6/2023,5/7/2026,R01,NIDDK,NIH,None,PAS-23-086,PAS,Required,https://grants.nih.gov/grants/guide/pa-files/PAS-23-086.html
Notice of Special Interest: Administrative Supplements to NIH-funded T32 and TL1 Training Grants to Better Integrate Behavioral and Social Sciences (BSS) with other Health-Related Sciences,3/6/2023,,Admin Supp,OBSSR,NIH,"NCATS, NCCIH, NCI, NHGRI, NHLBI, NICHD, NIDCD, NIGMS, NIMH, SGMRO",NOT-OD-23-098,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-23-098.html
Notice of Special Interest: Advancing mHealth Interventions for Understanding and Preventing Alcohol-Related Domestic Violence,3/6/2023,,"R01,R21,R34,K99/R00",NIAAA,NIH,None,NOT-AA-23-003,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-AA-23-003.html
SBIR E-Learning for HAZMAT and Emergency Response (R43/R44 Clinical Trial Not Allowed),3/6/2023,7/14/2023,R43/R44,NIEHS,NIH,None,RFA-ES-23-005,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-ES-23-005.html
Roybal Centers for Translational Research on Aging (P30 Clinical Trial Required),3/3/2023,6/23/2023,P30,NIA,NIH,None,RFA-AG-24-006,RFA,Required,https://grants.nih.gov/grants/guide/rfa-files/RFA-AG-24-006.html
"Roybal Centers for Translational Behavioral Research on Dementia Care, Caregiver Support, and Prevention of Alzheimers Disease and Related Dementias (AD/ADRD) (P30 Clinical Trial Required)",3/3/2023,6/23/2023,P30,NIA,NIH,None,RFA-AG-24-007,RFA,Required,https://grants.nih.gov/grants/guide/rfa-files/RFA-AG-24-007.html
Edward R. Roybal Coordinating Center (R24 - Clinical Trial Not Allowed),3/3/2023,6/23/2023,R24,NIA,NIH,None,RFA-AG-24-008,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-AG-24-008.html
Notice of Special Interest (NOSI): Administrative Supplements to NINR Institutional Research Training Grants (T32) to Increase Capacity for Research to Prevent Firearm Injury and Related Health Disparities,3/3/2023,,Admin Supp,NINR,NIH,None,NOT-NR-23-009,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-NR-23-009.html
"Notice of Special Interest (NOSI): Administrative Supplements to NIAMS-funded T32 Training Grants to Better Incorporate Pain Related Research in Rheumatic, Skin and Musculoskeletal Diseases Workforce Development",3/3/2023,,Admin Supp,NIAMS,NIH,None,NOT-AR-23-016,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-AR-23-016.html
